
ID;Name
5523-1;Glubokij Ručej
2528-1;Glubokoje
5232-1;Gomel
5527-1;Gončarai
2529-1;Gorodiščė
4106-1;Gorodišče (Brestskaja obl.)
2530-1;Goža
2531-1;Grandičiai
5571-1;Grebalai
2533-1;Grodno, AS
3857-1;Grodno, z/d
5572-1;Gudininkai
5553-1;Gumanikai
2535-1;Ivaceviči
2536-1;Izabelin
2537-1;Jurčiki
5546-1;Kamenyj Log muitinė (Baltarusija)
2538-1;Kamieny Log
5513-1;Kernianai
2540-1;Kobrin
6735-1;Kolejevci
5521-1;Komarovas
5522-1;Konstantinovas
2541-1;Kossovo
5507-1;Kotlovka
5506-1;Kotlovkos muitinė (Baltarusija)
2544-1;Koziki
5560-1;Kozlovščina
5568-1;Kraslievičiai
2546-1;Kriničnaja
5519-1;Kryžovka
2547-1;Lida
2548-1;Logišyn
2549-1;Malai
6736-1;Mankoviči
5515-1;Michališkės
5534-1;Mikuličiai
5529-1;Milkovičiai
5526-1;Minoitai
2553-1;Minsk (AS "Druznaja")
2551-1;Minsk (centralnyj)
2554-1;Minsk (Moskovskij)
2552-1;Minsk (Vostočnyj)
10001-1;Mogiliavas
4113-1;Molodečno
5554-1;Naročius
5555-1;Naročius AS
2555-1;Naugardukas
5578-1;Nevda
5231-1;Novaja Huta (Baltarusija)
5537-1;Novyj Dvor
6734-1;Ogorodniki
5528-1;Orkovičiai
2556-1;Orsha
5538-1;Ostrinas AS
5569-1;Ozaričiai
5539-1;Ozerai
5543-1;Pariečė
5561-1;Pavlovas
2558-1;Pinsk
2560-1;Polockas
5533-1;Poriečje
2561-1;Postavy
5530-1;Prilukai
2562-1;Privalka
2563-1;Privalkų muitinė
2564-1;Pružany
5541-1;Rėčica
5512-1;Rimdžiūnai
5535-1;Rodūnia
5547-1;Rovnoje Pole
2566-1;Ružany
2567-1;Schuchin
5517-1;Sidariškės
5549-1;Šyrki
2568-1;Skidel
2569-1;Sloboda
2570-1;Slobodka
5562-1;Slonimas AS
4112-1;Smorgon
5518-1;Strača
2571-1;Šumilino
5556-1;Švakštai
6733-1;Švakšti
5542-1;Svetlogorskas AS
2572-1;Sviataja Volia
5532-1;Svitiazis
5520-1;Svyriai
5567-1;Telechanai
5548-1;Tolminovas
5531-1;Valevka
5570-1;Vališčė
5552-1;Varenkai
2575-1;Vitebskas
2576-1;Volkovysk
5510-1;Vornianai
5509-1;Vorona
2579-1;Voronovas
5536-1;Zabolotje
2580-1;Zinoviči
5525-1;Žirmūnai
5563-1;Žirovičiai
2581-1;Zodino
5516-1;Žukainiai
3802-1;Basel, Meret Oppenheim - Strasse
3803-1;Bern, Neufeld Car Terminal
3805-1;Geneve, gare routiere, place Dorciere
3804-1;Lausanne, Parking du Velodrome
3801-1;Luzern, Inseliquai
3799-1;Sankt Gallen, Lagerstrasse 10
3800-1;Zurich, Carparkplatz am Sihlquai
2588-1;Brno, UAN Zvonarka
7914-1;Brno,hotel Grand bus station
2589-1;Česki Tešin PKP
2590-1;Dreasenhofen PKP
2591-1;Frydek Mistek , AN na Porici
2592-1;Hradec Kralove, bus station
2593-1;Mikulov PKP
2594-1;Nachod PKP
3796-1;Olomouc, AN
3795-1;Ostrava, UAN
2595-1;Plzen, centr.autobusove nadrazi
2596-1;Praha, AN Zelivskeho
2597-1;Praha, Florenc bus station
2598-1;Rozvadov PKP
2599-1;Tešin PKP
2751-1;Aachen
2752-1;Augsburg
3913-1;Bad Oeynhausen ZOB
2753-1;Bayreuth, Bf.
2754-1;Berlin, ZOB am Funkturm
2755-1;Bielefeld, Bf. Brackwede
2756-1;Bochum, Wittener Str.
6007-1;Bonn
2757-1;Braunschweig, ZOB Pavillon
2758-1;Bremen, ZOB, Breitenweg
2759-1;Bremerhaven, Hbf., P+R, Bismarckstr.
2760-1;Dortmund, Hbf.ZOB, Steinstrasse
2761-1;Dresden, Hbf., Bayrische Str.
2762-1;Duisburg, Busbahnhof, Mercator Str.
2763-1;Dusseldorf, Worringer Str., Busbahnhof
2764-1;Eisenach, Uferstrasse
2765-1;Erfurt, Hbf., Halt.7
2767-1;Essen, Hbf., Freiheit
2768-1;Frankfurt am Main, Hbf.OB
2766-1;Frankfurt PKP
3915-1;Freiburg Hbf. (Busbahnhof)
2769-1;Giessen, Licher Str., Automeile
2770-1;Gotha, Hbf. Steig 5
2771-1;Halle, ZOB am Hbf.
2772-1;Hamburg ZOB am Hbf., Adenauerallee
2773-1;Hannover, Hbf. OB
2774-1;Heilbron
2775-1;Hof, Hbf., Hast. 4
2776-1;Ingolstadt, Hbf.
2777-1;Ingolstadt, OB Esplanade
2778-1;Jena, Busbahnhof Paradies, Steig 1
2779-1;Kaiserslautern
2780-1;Karlsruhe, Hbf. Sudseite
2781-1;Kassel, Bf Wilhelmshohe
2782-1;Kehl PKP
2783-1;Kiefersfelden PKP
3911-1;Kiel ZOB
2784-1;Koln, Airport Köln/Bonn, Fernbusbahnhof
4074-1;Koln/Bonn Airport, Fernbusbahnhof
